n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
25,GFP.tif,0.5816,36.772,63.228,22.3665,14.0741,2494,6815,55782,95915,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
26,GFP.tif,0.4403,30.568,69.432,40.5047,20.2378,1791,8142,72544,164776,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
27,GFP.tif,0.4767,32.2819,67.7181,76.594,50.2283,1202,3845,92066,193128,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
28,GFP.tif,0.3035,23.2815,76.7185,67.9028,39.5913,1533,8664,104095,343019,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
29,GFP.tif,0.5078,33.6801,66.3199,84.5767,49.0228,2223,7552,188014,370220,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
30,GFP.tif,0.5989,37.4582,62.5418,53.2004,18.8072,1906,9002,101400,169302,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
31,GFP.tif,0.2606,20.6698,79.3302,68.6077,60.5405,3214,13979,220505,846295,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
32,GFP.tif,0.361,26.5273,73.4727,158.1267,97.776,1736,7776,274508,760306,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
33,GFP.tif,0.5086,33.7151,66.2849,145.3245,68.255,1054,4412,153172,301141,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
34,GFP.tif,0.3228,24.4044,75.5956,63.8994,28.6724,2277,15719,145499,450702,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
35,GFP.tif,0.4529,31.1713,68.8287,66.2517,40.0048,2634,9632,174507,385326,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
36,GFP.tif,0.2839,22.1105,77.8895,96.0855,71.3509,2644,12543,254050,894954,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
37,GFP.tif,0.3327,24.9653,75.0347,60.5377,40.2098,1339,6059,81060,243631,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
38,GFP.tif,0.3193,24.2034,75.7966,58.9504,42.9973,1291,5543,76105,238334,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
39,GFP.tif,0.2118,17.4769,82.5231,90.2513,49.1037,1397,12124,126081,595333,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
40,GFP.tif,0.4776,32.3245,67.6755,32.3136,13.5641,2264,11292,73158,153166,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
41,GFP.tif,0.4009,28.6165,71.3835,113.1562,75.7001,1530,5705,173129,431869,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
42,GFP.tif,0.2953,22.7971,77.2029,90.0804,64.6572,2611,12319,235200,796512,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
