n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
2,GFP.tif,0.4112,29.1383,70.8617,33.2499,34.0419,1881,4468,62543,152099,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
3,GFP.tif,0.3692,26.9658,73.0342,16.0371,20.4971,1159,2456,18587,50341,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
4,GFP.tif,0.2437,19.592,80.408,28.4949,27.3502,1265,5409,36046,147937,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
5,GFP.tif,0.8112,44.7866,55.2134,30.5028,31.1854,1579,1904,48164,59377,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
6,GFP.tif,0.3623,26.5944,73.4056,27.5858,28.5743,2040,5436,56275,155330,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
7,GFP.tif,0.3307,24.8492,75.1508,20.4398,22.72,1171,3186,23935,72386,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
8,GFP.tif,0.2203,18.0531,81.9469,15.1947,17.1391,1402,5642,21303,96699,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
9,GFP.tif,0.1925,16.1395,83.8605,14.9616,20.568,1484,5609,22203,115366,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
10,GFP.tif,0.2823,22.0165,77.9835,14.5111,20.1858,1847,4703,26802,94934,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
11,GFP.tif,0.3294,24.7809,75.2191,24.9974,26.576,1511,4314,37771,114649,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
12,GFP.tif,0.265,20.9463,79.0537,18.0902,26.908,1353,3433,24476,92375,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
1,GFP.tif,0.4153,29.3419,70.6581,60.9014,54.9795,1663,4436,101279,243889,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
2,GFP.tif,0.4284,29.9932,70.0068,27.641,31.4782,1816,3722,50196,117162,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
3,GFP.tif,0.3857,27.8364,72.1636,23.7911,24.7778,1848,4600,43966,113978,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
4,GFP.tif,0.3265,24.6121,75.3879,59.5404,59.1767,1930,5948,114913,351983,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
5,GFP.tif,0.2859,22.233,77.767,47.3495,49.7015,1917,6388,90769,317493,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
6,GFP.tif,0.4244,29.7958,70.2042,60.1377,66.1443,1336,2862,80344,189305,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
7,GFP.tif,0.4989,33.2841,66.7159,94.4343,87.0083,1225,2665,115682,231877,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
8,GFP.tif,0.2392,19.3,80.7,57.402,62.7694,1470,5621,84381,352827,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
9,GFP.tif,0.2687,21.1782,78.8218,51.7628,57.7797,1442,4808,74642,277805,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
10,GFP.tif,0.2825,22.025,77.975,63.6739,59.4025,1521,5772,96848,342871,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
11,GFP.tif,0.4598,31.4959,68.5041,46.7773,48.9901,2618,5437,122463,266359,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
12,GFP.tif,0.7977,44.3727,55.6273,50.6801,43.6303,2032,2959,102982,129102,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
13,GFP.tif,0.307,23.4863,76.5137,37.5303,37.5619,2376,7734,89172,290504,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
14,GFP.tif,0.2547,20.2978,79.7022,29.2075,36.0781,1817,5776,53070,208387,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
15,GFP.tif,0.5716,36.3696,63.6304,60.3597,42.0747,1418,3559,85590,149744,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
16,GFP.tif,0.3309,24.8603,75.1397,56.8173,51.4669,1292,4311,73408,221874,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
